lat,long,
47.25935,-52.77257, 
47.25934,-52.77258, 
47.25933,-52.77258, 
47.25931,-52.77258, 
47.2593,-52.77257, 
47.25928,-52.77257, 
47.25927,-52.77257, 
47.25925,-52.77255, 
47.25924,-52.77255, 
47.25923,-52.77254, 
47.25921,-52.77254, 
47.25919,-52.77255, 
47.25918,-52.77256, 
47.25917,-52.77257, 
47.25916,-52.77258, 
47.25914,-52.77259, 
47.25913,-52.77259, 
47.25912,-52.7726, 
47.25912,-52.77261, 
47.2591,-52.77263, 
47.25908,-52.77264, 
47.25907,-52.77266, 
47.25906,-52.77267, 
47.25906,-52.77269, 
47.25906,-52.77271, 
47.25905,-52.77272, 
47.25904,-52.77274, 
47.25903,-52.77277, 
47.25903,-52.77279, 
47.25903,-52.7728, 
47.25902,-52.77282, 
47.25902,-52.77284, 
47.25901,-52.77285, 
47.259,-52.77286, 
47.25899,-52.77286, 
47.25897,-52.77286, 
47.25896,-52.77286, 
